name_of_city,state_code,state_name,dist_code,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location,total_graduates,male_graduates,female_graduates,checkin_acc,duration,credit_history,amount,savings_acc,present_emp_since,inst_rate,personal_status,residing_since,age,inst_plans,num_credits,job,status,year,region,npg,birth_rate,death_rate,migratory_growth,population
Surendranagar Dudhrej ,24,GUJARAT,8,177827,92728,85099,18599,9982,8617,135879,75906,59973,918,863,85.34,91.73,78.41,"22.7201319,71.649536",17558,10540,7018,A14,36,A34,11054,A65,A73,4,A93,2,30,A143,1,A174,0,1995,Republic of Karelia,-7.9,8.8,16.7,,770690
Suryapet ,28,ANDHRA PRADESH,8,105250,52138,53112,9388,4822,4566,81366,43143,38223,1019,947,84.88,91.18,78.74,"17.1353148,79.6333674",14203,9485,4718,A14,6,A32,518,A61,A73,3,A92,1,29,A143,1,A173,0,1995,Kemerovo Oblast,-7.8,8.9,16.7,,3065197
Tadepalligudem ,28,ANDHRA PRADESH,15,103577,51176,52401,9048,4662,4386,78557,40283,38274,1024,941,83.1,86.6,79.71,"16.8138415,81.521241",11527,7258,4269,A14,12,A30,2759,A61,A75,2,A93,4,34,A143,2,A173,0,1995,Kirov Oblast,-8.3,8.2,16.5,,1623370
Tadpatri ,28,ANDHRA PRADESH,22,108249,54027,54222,11325,5813,5512,69948,39781,30167,1004,948,72.17,82.51,61.93,"14.9070274,78.0092703",8618,5762,2856,A14,24,A32,2670,A61,A75,4,A93,4,35,A143,1,A174,0,1995,Kostroma Oblast,-9.2,8.1,17.3,,794082
Tambaram ,33,TAMIL NADU,3,176807,90803,86004,16048,7947,8101,150667,79383,71284,947,1019,93.72,95.81,91.5,"12.9229153,80.1274558",35148,19571,15577,A11,24,A32,4817,A61,A74,2,A93,3,31,A143,1,A173,1,1995,Krasnodar Krai,-5.3,10,15.3,,5020837
Tenali ,28,ANDHRA PRADESH,17,164649,81324,83325,13040,6630,6410,125275,64968,60307,1025,967,82.63,86.98,78.41,"16.2395313,80.6493396",22433,13780,8653,A14,24,A32,2679,A61,A72,4,A92,1,29,A143,1,A174,0,1995,Krasnoyarsk Krai,-4.2,9.8,14,,3113809
Thane ,27,MAHARASHTRA,21,1818872,966293,852579,186259,98017,88242,1491552,817828,673724,882,900,91.36,94.19,88.14,"19.2183307,72.9780897",241148,129214,111934,A11,11,A34,3905,A61,A73,2,A93,2,36,A143,2,A173,0,1995,Republic of Crimea,,,,,
Thanesar ,6,HARYANA,4,154962,83655,71307,15594,8401,7193,119482,67646,51836,852,856,85.73,89.89,80.85,"29.9696148,76.8197522",32979,18192,14787,A11,12,A32,3386,A61,A75,3,A93,4,35,A143,1,A173,1,1995,Kurgan Oblast,-5.7,9.2,14.9,,1099645
Thanjavur ,33,TAMIL NADU,19,222619,109291,113328,18584,9581,9003,186643,94696,91947,1037,940,91.48,94.97,88.14,"10.7869994,79.1378274",33652,18483,15169,A11,6,A32,343,A61,A72,4,A92,1,27,A143,1,A173,0,1995,Kursk Oblast,-8.3,8.6,16.9,,1331632
Thiruvananthapuram ,32,KERALA,14,752490,364657,387833,61619,31156,30463,647479,316614,330865,1064,978,93.72,94.94,92.58,"8.5241391,76.9366376",151257,72759,78498,A14,18,A32,4594,A61,A72,3,A93,2,32,A143,1,A173,0,1995,Leningrad Oblast,-10.9,7.2,18.1,,1682657
Thoothukkudi ,33,TAMIL NADU,26,237374,118039,119335,23443,11864,11579,202105,102369,99736,1011,976,94.47,96.42,92.56,"8.7641661,78.1348361",31795,16516,15279,A11,36,A32,3620,A61,A73,1,A93,2,37,A143,1,A173,0,1995,Lipetsk Oblast,-7.8,8.4,16.2,,1246839
Thrissur ,32,KERALA,7,315596,151999,163597,25252,12953,12299,282338,136694,145644,1076,950,97.24,98.31,96.26,"10.5276416,76.2144349",53535,24392,29143,A11,15,A32,1721,A61,A72,2,A93,3,36,A143,1,A173,0,1995,Magadan Oblast,-2.7,8.8,11.5,,266883
Tiruchirappalli ,33,TAMIL NADU,13,846915,418128,428787,74381,37866,36515,705492,359975,345517,1025,964,91.32,94.66,88.08,"10.7904833,78.7046725",123329,67987,55342,A12,12,A32,3017,A61,A72,3,A92,1,34,A143,1,A174,0,1995,Mari El Republic,-3.5,9.7,13.2,,757834
Tirunelveli ,33,TAMIL NADU,27,474838,234643,240195,43988,22511,21477,391972,201509,190463,1024,954,90.98,94.99,87.08,"8.7139126,77.7566523",59397,33536,25861,A12,12,A32,754,A65,A75,4,A93,4,38,A143,2,A173,0,1995,Republic of Mordovia,-5.1,9,14.1,,954348
Tirupati ,28,ANDHRA PRADESH,23,287035,145977,141058,24643,12869,11774,229730,123449,106281,966,915,87.55,92.74,82.21,"13.6287557,79.4191795",55454,34588,20866,A14,18,A32,1950,A61,A74,4,A93,1,34,A142,2,A173,0,1995,Moscow,-8.5,7.5,16,,9085457
Tiruppur ,33,TAMIL NADU,32,444543,227469,217074,45091,23039,22052,350206,189496,160710,954,957,87.67,92.69,82.41,"11.1085242,77.3410656",33358,18431,14927,A11,24,A32,2924,A61,A73,3,A93,4,63,A141,1,A173,0,1995,Moscow Oblast,-10.3,7.1,17.4,,6671785
Tiruvannamalai ,33,TAMIL NADU,5,144683,72351,72332,14530,7413,7117,106256,55585,50671,1000,960,81.64,85.6,77.7,"12.2252841,79.0746957",16502,9655,6847,A11,24,A33,1659,A61,A72,4,A92,2,29,A143,1,A172,1,1995,Murmansk Oblast,-3.2,8.2,11.4,,1066924
Tiruvottiyur ,33,TAMIL NADU,1,248059,124852,123207,24007,12185,11822,197646,103197,94449,987,970,88.21,91.59,84.8,"13.1691914,80.3045793",25781,13493,12288,A14,48,A33,7238,A65,A75,3,A93,3,32,A141,2,A173,0,1995,Nenets Autonomous Okrug,0.7,13.7,13,,44526
Titagarh ,19,WEST BENGAL,11,118426,63936,54490,10816,5729,5087,87356,50566,36790,852,888,81.18,86.87,74.47,"22.7382665,88.3737064",5643,3898,1745,A14,33,A33,2764,A61,A73,2,A92,2,26,A143,2,A173,0,1995,Nizhny Novgorod Oblast,-9.6,8,17.6,,3730590
Tonk ,8,RAJASTHAN,22,165363,84927,80436,23122,12280,10842,98819,57170,41649,947,883,69.47,78.7,59.85,"26.1620402,75.7894716",11776,7537,4239,A14,24,A33,4679,A61,A74,3,A93,3,35,A143,2,A172,0,1995,Novgorod Oblast,-11.9,8,19.9,,739368
Tumkur ,29,KARNATAKA,17,305821,155406,150415,29655,15233,14422,237424,123904,113520,968,947,85.97,88.39,83.47,"13.3709627,76.6412712",42163,25617,16546,A12,24,A32,3092,A62,A72,3,A94,2,22,A143,1,A173,1,1995,Novosibirsk Oblast,-5.6,8.6,14.2,,2732352
Udaipur ,8,RAJASTHAN,32,451735,234681,217054,47352,25338,22014,366598,200051,166547,925,869,90.66,95.56,85.39,"24.585445,73.712479",92090,51475,40615,A11,6,A32,448,A61,A72,4,A92,4,23,A143,1,A173,1,1995,Omsk Oblast,-2.1,10.3,12.4,,2168597
Udgir ,27,MAHARASHTRA,28,104063,54445,49618,13075,6933,6142,78051,43518,34533,911,886,85.78,91.59,79.43,"18.3942882,77.1126009",9924,6900,3024,A11,9,A32,654,A61,A73,4,A93,3,28,A143,1,A172,1,1995,Orenburg Oblast,-3.3,10.3,13.6,,2213038
Udupi ,29,KARNATAKA,15,125350,62031,63319,10283,5364,4919,108041,54690,53351,1021,917,93.89,96.51,91.35,"13.3408807,74.7421427",22444,11795,10649,A14,6,A32,1238,A65,A71,4,A93,4,36,A143,1,A174,0,1995,Oryol Oblast,-7.4,8.8,16.2,,909379
Ujjain ,23,MADHYA PRADESH,18,515215,265291,249924,57630,30007,27623,391470,214481,176989,942,921,85.55,91.16,79.62,"23.1793013,75.7849097",72743,41616,31127,A12,18,A34,1245,A61,A73,4,A94,2,33,A143,1,A173,1,1995,Penza Oblast,-6.8,8.3,15.1,,1553563
Ulhasnagar ,27,MAHARASHTRA,21,506937,270373,236564,48513,25492,23021,408959,227975,180984,875,903,89.21,93.1,84.75,"19.2215115,73.1644628",43561,23087,20474,A11,18,A30,3114,A61,A72,1,A92,4,26,A143,1,A173,1,1995,Perm Krai,-6.7,9.4,16.1,,2963942
Uluberia ,19,WEST BENGAL,15,222175,114144,108031,25187,12991,12196,159826,86210,73616,946,939,81.13,85.23,76.82,"22.4744363,88.1000377",11384,7234,4150,A14,39,A32,2569,A63,A73,4,A93,4,24,A143,1,A173,0,1995,Primorsky Krai,-3.7,9.4,13.1,,2266303
Unnao ,9,UTTAR PRADESH,25,178681,94080,84601,18604,9949,8655,134018,73411,60607,899,870,83.72,87.26,79.8,"26.5393449,80.4878195",27220,15670,11550,A13,24,A32,5152,A61,A74,4,A93,2,25,A141,1,A173,0,1995,Pskov Oblast,-13.1,7.8,20.9,,830017
Uttarpara Kotrung ,19,WEST BENGAL,12,162386,82815,79571,11140,5815,5325,137869,71976,65893,961,916,91.16,93.48,88.75,"22.6768451,88.3385053",35773,20981,14792,A12,12,A32,1037,A62,A74,3,A93,4,39,A143,1,A172,0,1995,Altai Republic,1.1,14.3,13.2,,198542
Vadodara ,24,GUJARAT,19,1666703,866701,800002,156480,84307,72173,1394952,747280,647672,923,856,92.37,95.51,88.99,"22.3071588,73.1812187",279959,153236,126723,A11,15,A34,1478,A61,A75,4,A93,4,44,A143,2,A173,0,1995,Komi Republic,-3.5,9.7,13.2,,1156750
Valsad ,24,GUJARAT,24,114987,58958,56029,9609,5119,4490,97687,51447,46240,950,877,92.7,95.56,89.72,"20.5992349,72.9342451",18980,10382,8598,A12,12,A34,3573,A61,A73,1,A92,1,23,A143,1,A172,0,1995,Tuva Republic,7.1,20.3,13.2,,303452
Varanasi ,9,UTTAR PRADESH,66,1201815,636860,564955,129180,68761,60419,859379,477807,381572,887,879,80.12,84.11,75.63,"25.3176452,82.9739144",172622,101440,71182,A12,24,A32,1201,A61,A72,4,A93,1,26,A143,1,A173,0,1995,Rostov Oblast,-6.5,9.1,15.6,,4481882
Vasai Virar City ,27,MAHARASHTRA,21,1221233,649535,571698,137343,71716,65627,987916,548138,439778,880,915,91.15,94.86,86.9,"19.3919275,72.8397317",129954,70016,59938,A11,30,A32,3622,A64,A75,4,A92,4,57,A143,2,A173,0,1995,Ryazan Oblast,-10.2,7.8,18,,1330682
Vellore ,33,TAMIL NADU,4,185895,91464,94431,18363,9305,9058,145192,75321,69871,1032,973,86.67,91.68,81.84,"12.9165167,79.1324986",15592,8912,6680,A14,15,A33,960,A64,A74,3,A92,2,30,A143,2,A173,0,1995,Samara Oblast,-6.2,8.6,14.8,,3300594
Veraval ,24,GUJARAT,12,153696,78161,75535,17107,9003,8104,106540,59874,46666,966,900,78,86.58,69.21,"20.9158979,70.3628516",10089,6246,3843,A14,12,A34,1163,A63,A73,4,A93,4,44,A143,1,A173,0,1995,Saint Petersburg,-8.9,7,15.9,,4845407
Vidisha ,23,MADHYA PRADESH,26,155959,81424,74535,19360,10122,9238,118678,65802,52876,915,913,86.88,92.29,80.98,"23.5251102,77.8081363",22023,13177,8846,A12,6,A33,1209,A61,A71,4,A93,4,47,A143,1,A174,1,1995,Saratov Oblast,-5.7,8.9,14.6,,2734819
Vijayawada ,28,ANDHRA PRADESH,16,1048240,524918,523322,92848,47582,45266,789038,411677,377361,997,951,82.59,86.24,78.94,"16.5061743,80.6480153",135425,81146,54279,A14,12,A32,3077,A61,A73,2,A93,4,52,A143,1,A173,0,1995,Sakhalin Oblast,-8.3,9.1,17.4,,659444
Visakhapatnam,28,ANDHRA PRADESH,13,1730320,875199,855121,158924,81119,77805,1298896,698959,599937,977,959,82.66,88.02,77.18,"17.6868,83.2185",250549,148824,101725,A14,24,A32,3757,A61,A75,4,A92,4,62,A143,1,A173,0,1995,Sverdlovsk Oblast,-7,8.6,15.6,,4678975
Vizianagaram ,28,ANDHRA PRADESH,12,227533,111596,115937,20487,10495,9992,169461,89155,80306,1039,952,81.85,88.18,75.8,"18.1066576,83.3955506",30656,19173,11483,A14,10,A32,1418,A62,A73,3,A93,2,35,A143,1,A172,0,1995,Sevastopol,,,,,
Warangal ,28,ANDHRA PRADESH,9,620116,310400,309716,55392,28434,26958,475247,258111,217136,998,948,84.16,91.54,76.79,"17.9689008,79.5940544",109613,69507,40106,A14,6,A32,3518,A61,A73,2,A93,3,26,A143,1,A173,0,1995,Republic of North Ossetia-Alania,0.3,13,12.7,,670701
Wardha ,27,MAHARASHTRA,8,105543,53241,52302,9754,5139,4615,90091,46752,43339,982,898,94.05,97.19,90.88,"20.745319,78.6021946",19363,10645,8718,A14,12,A34,1934,A61,A75,2,A93,2,26,A143,2,A173,0,1995,Smolensk Oblast,-9.1,8.1,17.2,,1155593
Yamunanagar ,6,HARYANA,3,216628,115404,101224,22905,12556,10349,166419,92164,74255,877,824,85.91,89.61,81.71,"30.1290485,77.2673901",29803,14349,15454,A12,27,A30,8318,A61,A75,2,A92,4,42,A143,2,A174,1,1995,Stavropol Krai,-2.9,10.6,13.5,,2663817
Yavatmal ,27,MAHARASHTRA,14,116714,58717,57997,11081,5894,5187,96980,50419,46561,988,880,91.81,95.45,88.17,"20.3887937,78.1204073",13511,7397,6114,A14,6,A34,1237,A62,A73,1,A92,1,27,A143,2,A173,0,1995,Tambov Oblast,-9,8.5,17.5,,1298622
